CPU: ID 0x306d4, Processor Type 0x0, Family 0x6, Model 0x3d, Stepping 0x4
Northbridge: 8086:1604 (5th generation (Broadwell family) Core Processor ULT)
Southbridge: 8086:9cc3 (Wildcat Point Low Power Premium SKU)
IGD: 8086:1626 (unknown)

============= GPIOS =============

GPIOBASE = 0x1c00 (IO)

0x2030: 0x82000004
0x2040: 0x87000080
0x2088: 0x00109000
0x2094: 0x00002000
0x20ac: 0x40000000
0x2234: 0x0000000f
0x2240: 0x00090515
0x2244: 0x00150559
0x2248: 0x00210f1e
0x224c: 0x00390000
0x2250: 0x00450000
0x2254: 0x003d08b8
0x2258: 0x003d04ac
0x2260: 0x00bb0255
0x2268: 0x00150559
0x2270: 0x00450000
0x2274: 0x00100040
0x2278: 0x00450048
0x227c: 0x00510070
0x2280: 0x00760000
0x2284: 0x00820000
0x2288: 0x00990655
0x2294: 0x00460d18
0x2298: 0x00520d40
0x229c: 0x00b30000
0x22a0: 0x00be0000
0x22a4: 0x00c30b0c
0x2300: 0x00000002
0x2304: 0x00f88400
0x2314: 0x80000080
0x2320: 0x00000010
0x2330: 0xcb000000
0x2334: 0x00000026
0x2338: 0xf0000700
0x2600: 0x00000008
0x2604: 0x00000005
0x2608: 0x00000002
0x260c: 0x00000010
0x2614: 0x0e207500
0x2618: 0x0a330031
0x261c: 0x00000900
0x2b00: 0x07ffffff
0x2b10: 0x0000883c
0x2b14: 0x1e0a4616
0x2b1c: 0x23c0e033
0x2b20: 0x0005db01
0x2b24: 0x40000005
0x2b34: 0x80000009
0x2b50: 0x01742010
0x2b54: 0x01742010
0x2b58: 0x07ffffff
0x2b5c: 0x00000001
0x2b64: 0x90039003
0x2b6c: 0x88b988b9
0x2b70: 0x0000881e
0x2b78: 0x08040000
0x3020: 0xffffffff
0x3024: 0xffffffff
0x3028: 0xffffffff
0x302c: 0xffffffff
0x3030: 0xffffffff
0x3034: 0xffffffff
0x3038: 0xffffffff
0x303c: 0xffffffff
0x3040: 0xffffffff
0x3044: 0xffffffff
0x3048: 0xffffffff
0x304c: 0xffffffff
0x3050: 0xffffffff
0x3054: 0xffffffff
0x3058: 0xffffffff
0x305c: 0xffffffff
0x3060: 0xffffffff
0x3064: 0xffffffff
0x3068: 0xffffffff
0x306c: 0xffffffff
0x3070: 0xffffffff
0x3074: 0xffffffff
0x3078: 0xffffffff
0x307c: 0xffffffff
0x3080: 0xffffffff
0x3084: 0xffffffff
0x3088: 0xffffffff
0x308c: 0xffffffff
0x3090: 0xffffffff
0x3094: 0xffffffff
0x3098: 0xffffffff
0x309c: 0xffffffff
0x30a0: 0xffffffff
0x30a4: 0xffffffff
0x30a8: 0xffffffff
0x30ac: 0xffffffff
0x30b0: 0xffffffff
0x30b4: 0xffffffff
0x30b8: 0xffffffff
0x30bc: 0xffffffff
0x30c0: 0xffffffff
0x30c4: 0xffffffff
0x30c8: 0xffffffff
0x30cc: 0xffffffff
0x30d0: 0xffffffff
0x30d4: 0xffffffff
0x30d8: 0xffffffff
0x30dc: 0xffffffff
0x30e0: 0xffffffff
0x30e4: 0xffffffff
0x30e8: 0xffffffff
0x30ec: 0xffffffff
0x30f0: 0xffffffff
0x30f4: 0xffffffff
0x30f8: 0xffffffff
0x30fc: 0xffffffff
0x3100: 0x03203200
0x3108: 0x00000001
0x310c: 0x43214321
0x3110: 0x00000001
0x3118: 0x00000001
0x3124: 0x00004321
0x3128: 0x00000001
0x3140: 0x00000235
0x3144: 0x32102037
0x3148: 0x00003216
0x314c: 0x00003250
0x3150: 0x00007654
0x3154: 0x00003210
0x3158: 0x00000006
0x315c: 0x00003210
0x3160: 0x00003210
0x3164: 0x00005544
0x3168: 0x00000007
0x31e0: 0x000000a0
0x31fc: 0x01000000
0x3300: 0xffffffff
0x3304: 0xffffffff
0x3308: 0xffffffff
0x330c: 0xffffffff
0x3310: 0x06030100
0x3314: 0x00012fff
0x3318: 0x0dcf0400
0x331c: 0x80000000
0x3324: 0x04000000
0x3334: 0x00000005
0x333c: 0x04c00000
0x3348: 0x022ddfff
0x334c: 0x00000001
0x3350: 0x022ddfff
0x3354: 0x00000001
0x3358: 0x0001c000
0x3368: 0x00041400
0x3380: 0x3f8ddbff
0x3384: 0x0001c7e1
0x3388: 0x3f8ddbff
0x338c: 0x0001c7e1
0x3398: 0x0001c000
0x33a8: 0x00181900
0x33ac: 0x00007001
0x33b0: 0x00181900
0x33b4: 0x00007001
0x33c0: 0x00060a00
0x33c4: 0x80050302
0x33c8: 0x00008080
0x33cc: 0x0d0b0907
0x33d0: 0x06200840
0x33d4: 0x2fff2fb1
0x33d8: 0x003b0321
0x33dc: 0x00080000
0x33e0: 0x00000013
0x33e4: 0x16bf0003
0x33f0: 0x30002de4
0x3400: 0x0000001c
0x3404: 0x00000080
0x3410: 0x00000061
0x3418: 0x01260007
0x341c: 0xfc400000
0x3424: 0x00060010
0x3428: 0x0000001d
0x3434: 0x00000017
0x3450: 0xfed04000
0x3458: 0xffffffff
0x345c: 0xffffffff
0x3460: 0xffffffff
0x3464: 0xffffffff
0x3468: 0xffffffff
0x346c: 0xffffffff
0x3470: 0xffffffff
0x3474: 0xffffffff
0x3478: 0xffffffff
0x347c: 0xffffffff
0x3480: 0xffffffff
0x3484: 0xffffffff
0x3488: 0xffffffff
0x348c: 0xffffffff
0x3490: 0xffffffff
0x3494: 0xffffffff
0x3498: 0xffffffff
0x349c: 0xffffffff
0x34a0: 0xffffffff
0x34a4: 0xffffffff
0x34a8: 0xffffffff
0x34ac: 0xffffffff
0x34b0: 0xffffffff
0x34b4: 0xffffffff
0x34b8: 0xffffffff
0x34bc: 0xffffffff
0x34c0: 0xffffffff
0x34c4: 0xffffffff
0x34c8: 0xffffffff
0x34cc: 0xffffffff
0x34d0: 0xffffffff
0x34d4: 0xffffffff
0x34d8: 0xffffffff
0x34dc: 0xffffffff
0x34e0: 0xffffffff
0x34e4: 0xffffffff
0x34e8: 0xffffffff
0x34ec: 0xffffffff
0x34f0: 0xffffffff
0x34f4: 0xffffffff
0x34f8: 0xffffffff
0x34fc: 0xffffffff
0x3500: 0xffffffff
0x3504: 0xffffffff
0x3508: 0xffffffff
0x350c: 0xffffffff
0x3510: 0xffffffff
0x3514: 0xffffffff
0x3518: 0xffffffff
0x351c: 0xffffffff
0x3520: 0xffffffff
0x3524: 0xffffffff
0x3528: 0xffffffff
0x352c: 0xffffffff
0x3530: 0xffffffff
0x3534: 0xffffffff
0x3538: 0xffffffff
0x353c: 0xffffffff
0x3540: 0xffffffff
0x3544: 0xffffffff
0x3548: 0xffffffff
0x354c: 0xffffffff
0x3550: 0xffffffff
0x3554: 0xffffffff
0x3558: 0xffffffff
0x355c: 0xffffffff
0x3560: 0xffffffff
0x3564: 0xffffffff
0x3568: 0xffffffff
0x356c: 0xffffffff
0x3570: 0xffffffff
0x3574: 0xffffffff
0x3578: 0xffffffff
0x357c: 0xffffffff
0x3580: 0xffffffff
0x3584: 0xffffffff
0x3588: 0xffffffff
0x358c: 0xffffffff
0x3590: 0xffffffff
0x3594: 0xffffffff
0x3598: 0xffffffff
0x359c: 0xffffffff
0x35a0: 0xffffffff
0x35a4: 0xffffffff
0x35a8: 0xffffffff
0x35ac: 0xffffffff
0x35b0: 0xffffffff
0x35b4: 0xffffffff
0x35b8: 0xffffffff
0x35bc: 0xffffffff
0x35c0: 0xffffffff
0x35c4: 0xffffffff
0x35c8: 0xffffffff
0x35cc: 0xffffffff
0x35d0: 0xffffffff
0x35d4: 0xffffffff
0x35d8: 0xffffffff
0x35dc: 0xffffffff
0x35e0: 0xffffffff
0x35e4: 0xffffffff
0x35e8: 0xffffffff
0x35ec: 0xffffffff
0x35f0: 0xffffffff
0x35f4: 0xffffffff
0x35f8: 0xffffffff
0x35fc: 0xffffffff
0x3600: 0xffffffff
0x3604: 0xffffffff
0x3608: 0xffffffff
0x360c: 0xffffffff
0x3610: 0xffffffff
0x3614: 0xffffffff
0x3618: 0xffffffff
0x361c: 0xffffffff
0x3620: 0xffffffff
0x3624: 0xffffffff
0x3628: 0xffffffff
0x362c: 0xffffffff
0x3630: 0xffffffff
0x3634: 0xffffffff
0x3638: 0xffffffff
0x363c: 0xffffffff
0x3640: 0xffffffff
0x3644: 0xffffffff
0x3648: 0xffffffff
0x364c: 0xffffffff
0x3650: 0xffffffff
0x3654: 0xffffffff
0x3658: 0xffffffff
0x365c: 0xffffffff
0x3660: 0xffffffff
0x3664: 0xffffffff
0x3668: 0xffffffff
0x366c: 0xffffffff
0x3670: 0xffffffff
0x3674: 0xffffffff
0x3678: 0xffffffff
0x367c: 0xffffffff
0x3680: 0xffffffff
0x3684: 0xffffffff
0x3688: 0xffffffff
0x368c: 0xffffffff
0x3690: 0xffffffff
0x3694: 0xffffffff
0x3698: 0xffffffff
0x369c: 0xffffffff
0x36a0: 0xffffffff
0x36a4: 0xffffffff
0x36a8: 0xffffffff
0x36ac: 0xffffffff
0x36b0: 0xffffffff
0x36b4: 0xffffffff
0x36b8: 0xffffffff
0x36bc: 0xffffffff
0x36c0: 0xffffffff
0x36c4: 0xffffffff
0x36c8: 0xffffffff
0x36cc: 0xffffffff
0x36d0: 0xffffffff
0x36d4: 0xffffffff
0x36d8: 0xffffffff
0x36dc: 0xffffffff
0x36e0: 0xffffffff
0x36e4: 0xffffffff
0x36e8: 0xffffffff
0x36ec: 0xffffffff
0x36f0: 0xffffffff
0x36f4: 0xffffffff
0x36f8: 0xffffffff
0x36fc: 0xffffffff
0x3700: 0xffffffff
0x3704: 0xffffffff
0x3708: 0xffffffff
0x370c: 0xffffffff
0x3710: 0xffffffff
0x3714: 0xffffffff
0x3718: 0xffffffff
0x371c: 0xffffffff
0x3720: 0xffffffff
0x3724: 0xffffffff
0x3728: 0xffffffff
0x372c: 0xffffffff
0x3730: 0xffffffff
0x3734: 0xffffffff
0x3738: 0xffffffff
0x373c: 0xffffffff
0x3740: 0xffffffff
0x3744: 0xffffffff
0x3748: 0xffffffff
0x374c: 0xffffffff
0x3750: 0xffffffff
0x3754: 0xffffffff
0x3758: 0xffffffff
0x375c: 0xffffffff
0x3760: 0xffffffff
0x3764: 0xffffffff
0x3768: 0xffffffff
0x376c: 0xffffffff
0x3770: 0xffffffff
0x3774: 0xffffffff
0x3778: 0xffffffff
0x377c: 0xffffffff
0x3780: 0xffffffff
0x3784: 0xffffffff
0x3788: 0xffffffff
0x378c: 0xffffffff
0x3790: 0xffffffff
0x3794: 0xffffffff
0x3798: 0xffffffff
0x379c: 0xffffffff
0x37a0: 0xffffffff
0x37a4: 0xffffffff
0x37a8: 0xffffffff
0x37ac: 0xffffffff
0x37b0: 0xffffffff
0x37b4: 0xffffffff
0x37b8: 0xffffffff
0x37bc: 0xffffffff
0x37c0: 0xffffffff
0x37c4: 0xffffffff
0x37c8: 0xffffffff
0x37cc: 0xffffffff
0x37d0: 0xffffffff
0x37d4: 0xffffffff
0x37d8: 0xffffffff
0x37dc: 0xffffffff
0x37e0: 0xffffffff
0x37e4: 0xffffffff
0x37e8: 0xffffffff
0x37ec: 0xffffffff
0x37f0: 0xffffffff
0x37f4: 0xffffffff
0x37f8: 0xffffffff
0x37fc: 0xffffffff
0x3800: 0x07ff01a0
0x3804: 0x0300e009
0x3810: 0xc21720c2
0x3814: 0x03041720
0x3818: 0x33303188
0x381c: 0x38313230
0x3820: 0x0605030a
0x3824: 0x7f000200
0x3828: 0x02000401
0x382c: 0xd0000c01
0x3830: 0x000a0341
0x3834: 0x01000000
0x3838: 0x00000601
0x383c: 0x0c01021f
0x3840: 0x0341d000
0x3844: 0x00000003
